;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
2,276000;-61,821194;102,574997;2280,897461;3,593879;1,670950;5,649953;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,310000;-61,822639;102,571304;2280,868408;3,653697;1,623971;5,640304;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,345000;-61,821209;102,571701;2280,877686;3,663933;1,652957;5,639818;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,379000;-61,827179;102,574593;2280,875244;3,579002;1,647717;5,648110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,414000;-61,825108;102,575485;2280,864990;3,650368;1,715916;5,651477;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,448000;-61,826298;102,571434;2280,878906;3,728425;1,663140;5,658134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,483000;-61,826427;102,573593;2280,891113;3,632721;1,628223;5,650008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,517000;-61,823570;102,575569;2280,875000;3,672313;1,641753;5,649393;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,552000;-61,819183;102,571068;2280,855957;3,650751;1,614414;5,643579;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,586000;-61,821507;102,572983;2280,873535;3,649916;1,700102;5,642285;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,621000;-61,820522;102,572937;2280,864990;3,634233;1,664528;5,641520;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,655000;-61,824551;102,574013;2280,858887;3,589454;1,645275;5,646551;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,690000;-61,819996;102,573715;2280,872803;3,637614;1,603730;5,647027;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,724000;-61,827515;102,578239;2280,870361;3,648793;1,653261;5,654336;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,759000;-61,820229;102,574287;2280,877441;3,634925;1,596591;5,642666;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,793000;-61,824886;102,571289;2280,863037;3,604416;1,620315;5,647736;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,828000;-61,820236;102,576576;2280,875488;3,633795;1,610688;5,652105;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
